state,postcode,individuals_2003-04,median_taxable_income_2003-04,average_taxable_income_2003-04,individuals_2013-14,median_taxable_income_2013-14,average_taxable_income_2013-14,individuals_2014-15,median_taxable_income_2014-15,average_taxable_income_2014-15,individuals_2015-16,median_taxable_income_2015-16,average_taxable_income_2015-16,individuals_2016-17,median_taxable_income_2016-17,average_taxable_income_2016-17,individuals_2017-18,median_taxable_income_2017-18,average_taxable_income_2017-18,individuals_2018-19,median_taxable_income_2018-19,average_taxable_income_2018-19,individuals_2019-20,median_taxable_income_2019-20,average_taxable_income_2019-20
ACT,2600,5692,42327,55819,5712,66815,94265,5592,68327,101142,5581,72047,102063,5646,72304,102131,5962,73941,107634,5953,76177,112280,5945,78636,119465
ACT,2601,1833,35584,47294,2777,46880,66876,2792,48061,65023,2658,49645,68957,2820,46378,64948,2810,42957,64939,3083,39781,64871,3159,45914,67940
ACT,2602,17431,35997,41004,19072,57584,68424,19096,57245,68256,19457,58742,70885,19924,58469,71274,20613,59921,72821,21263,62841,75693,22009,64315,79393
ACT,2603,5973,45229,62762,6210,70655,116150,6305,72177,112012,6478,73564,122886,6650,73838,110394,6850,75869,115723,6978,79369,119441,7165,81877,126534
ACT,2604,6053,41732,49505,7205,67865,81898,7464,69440,83477,7387,72034,86280,7984,71683,87389,8265,74523,90095,8478,76609,91603,8617,77737,95374
ACT,2605,7872,40527,48350,7433,59671,78479,7384,62166,80446,7437,64447,85548,7574,65270,85567,7699,66332,89276,7830,69194,91007,7973,70817,93937
ACT,2606,5261,37552,44135,5902,55252,68359,6119,56695,68323,6312,56617,70222,6550,57687,70051,7055,59044,72332,7248,62795,75418,7851,63845,78499
ACT,2607,9348,37978,45496,9244,54755,69960,9132,54490,70360,9224,56774,76151,9403,57790,73301,9527,59797,75608,9624,63153,80761,9827,64183,81882
ACT,2609,629,31455,41182,597,46296,66034,629,47552,61817,561,47062,63438,608,49900,64339,586,53071,74737,592,53554,70769,599,51865,68496
ACT,2611,15713,37385,42127,15452,56898,67428,16330,59031,68302,17714,61002,70543,18721,61208,71177,19703,63487,73202,20726,66321,76240,21807,68112,78780
ACT,2612,7018,36183,44279,9514,59011,70468,9728,59796,72772,10180,60425,74512,10631,61229,75381,10926,64404,78786,11456,67915,82788,12569,69155,83268
ACT,2614,13168,37098,42507,12156,54246,67137,12212,54720,66419,12324,55315,67911,12586,54889,68119,12843,56132,69983,13123,58235,71345,13381,60024,74845
ACT,2615,26277,34492,37276,27050,52904,58699,26897,53120,59089,27270,54745,60995,27635,55725,61351,28142,56842,62606,28646,58849,65140,29416,60794,67505
ACT,2617,17113,35104,38909,19597,51602,60470,19761,51847,60255,20445,52603,61766,21761,52615,62144,22914,53502,62638,23649,55041,64845,24474,55695,66027
ACT,2900,726,37525,39434,1199,54847,60724,1174,56535,62703,1274,59024,67532,1406,60837,68330,2034,58778,66211,2162,61858,68147,2405,61553,69255
ACT,2902,11014,35260,39987,9605,53461,61344,9284,53911,62305,9314,54590,64308,9527,54492,63729,9704,55693,64601,9902,57101,67072,9940,59627,70111
ACT,2903,6834,35408,38971,5998,52957,60666,5949,53211,60556,5912,55231,62808,6051,54991,62870,6109,56840,65123,6184,58664,67501,6230,60956,69646
ACT,2904,9555,37344,41822,8770,56291,65285,8574,57381,66650,8647,58445,68642,8714,58525,68536,8758,59877,70224,8756,62230,72502,8762,64329,74719
ACT,2905,18099,35466,38225,18004,54702,60141,18039,54274,60258,18219,55974,62188,18572,56379,62840,18773,57975,64311,18954,60274,66525,18840,61752,68266
ACT,2906,10139,37025,38895,10895,56421,61447,11021,56430,61792,11137,57243,63630,11327,57570,63503,11581,59125,65176,11760,62040,67937,11768,64057,70217
ACT,2911,,,,,,,2724,61148,66445,2900,64660,70942,3012,65215,71410,3104,65873,74017,3096,69499,76268,3134,70217,78600
ACT,2912,1364,40467,42325,3782,52737,58286,3703,52349,58678,3815,51938,60562,3947,50692,60275,4543,49473,58829,4930,51414,59959,5314,51502,61115
ACT,2913,13646,37602,41458,19057,57317,64201,20718,57095,63791,21950,57973,65549,22836,58471,66052,23539,58791,66958,24428,60816,68828,25220,61918,70348
ACT,2914,3197,39052,40372,12748,60928,65409,13627,60900,66536,14761,61567,68439,16503,61376,67512,18116,61875,69070,19410,63846,70731,20634,65046,72809
NSW,1235,,,,,,,,,,,,,337,20631,38633,,,,,,,,,
NSW,2000,19065,12133,35408,35372,18013,45807,36185,18213,47723,24207,25828,68607,24459,27138,66698,23478,29450,73334,23460,31303,77429,23182,32033,79811
NSW,2001,,,,,,,,,,,,,381,45282,93231,340,44022,93525,313,44675,102305,291,47790,107543
NSW,2007,3119,23584,32155,4729,32969,46841,4769,31474,46549,4879,31049,47040,5184,29682,46529,5032,29967,47170,4867,32728,50321,4971,32856,52342
NSW,2008,3974,29617,36588,5166,40518,53660,5607,41151,108816,6025,40289,82162,6218,40057,65810,6305,41681,58973,6384,42270,59638,6131,43379,62989
NSW,2009,7446,33455,44645,9614,50966,85103,9726,50604,82938,9763,52414,84475,9773,51848,82525,9688,53780,86162,9451,55177,89091,9277,56316,90107
NSW,2010,16744,34636,45202,19583,53346,76891,20287,53444,79838,20638,55635,83548,20756,57746,88233,20764,59960,89782,20607,62966,95184,20025,65360,98592
NSW,2011,13195,38956,55697,14652,53535,84671,14945,55019,85971,15288,56494,90741,14910,61311,96522,14588,65277,107694,14529,68112,105840,14094,69873,113242
NSW,2015,5545,40525,45887,6907,59694,72061,7254,60610,72810,7444,62703,76455,7789,65837,81428,7911,68240,82008,8010,71168,86569,8195,72758,91712
NSW,2016,6782,33732,41464,7890,51090,66693,8281,52731,68611,8718,54829,70432,8997,57186,73941,8993,59853,78768,8998,62044,81182,8507,63775,84823
NSW,2017,4630,32274,37807,10579,52231,61583,12727,53468,62869,14025,54101,65510,14925,54603,66025,15606,56330,68577,16658,57818,69913,17565,57435,71880
NSW,2018,7418,28344,32356,8347,43123,52701,8727,44235,54493,9425,46620,56377,9949,46512,57443,10537,48390,61689,11405,50776,62822,11942,52877,65368
NSW,2019,5154,33805,38389,5751,50362,60335,6159,51627,61563,6578,53579,63034,6805,56017,65432,7579,58360,68866,8093,60724,71262,8310,62490,73461
NSW,2020,5752,29793,33219,8092,47119,54716,8972,47604,55337,9856,48862,57767,10931,48642,57420,12022,47944,57730,13526,47855,57451,14297,47364,58632
NSW,2021,10760,41314,67721,10663,61349,111537,10689,64510,118200,10987,66535,123446,11079,68206,125651,11043,72186,134514,10967,74221,137532,10935,75376,142569
NSW,2022,8292,32021,48150,9017,49748,78217,9039,50683,82920,9078,52286,85624,9543,53625,88690,9633,56602,97562,9708,57980,97183,9626,59743,100606
NSW,2023,6571,43802,96087,7107,64526,155172,7159,65948,163820,7254,68006,180412,7454,70356,169334,7513,72825,193440,7404,75151,173287,7382,75238,195204
NSW,2024,7732,36989,55609,7276,57937,112423,7381,58670,113344,7561,61401,119592,7650,63839,117744,7795,66246,130935,7709,70580,136652,7620,72703,135069
NSW,2025,5473,42866,77507,5281,61606,127421,5337,64770,141298,5340,67914,141868,5364,69040,141215,5362,72051,162698,5252,74121,183417,5270,74997,172600
NSW,2026,22367,32110,44393,23516,51886,84520,23617,54133,86058,24401,55131,90539,24881,57397,94839,24495,60781,102915,24430,62375,103604,24420,64002,105861
NSW,2027,6099,47705,104514,6071,68004,200015,6109,69546,189293,5995,72877,192500,6089,75897,187769,6139,78850,198828,6051,78832,199842,5910,78895,205957
NSW,2028,3721,42273,74197,3393,59674,130759,3492,63922,138959,3520,65758,146521,3505,70043,160378,3517,72980,242428,3573,74506,202541,3570,76983,170051
NSW,2029,7053,38471,68068,6846,55824,102065,6946,57648,105681,7020,59358,111140,7021,61936,117913,7071,65020,118861,7090,67192,129329,7066,67518,129550
NSW,2030,10055,40046,85905,9642,59958,154010,9786,62261,185684,9819,65015,182829,9956,66941,178282,10040,69428,181954,9869,71593,197906,9888,74350,186025
NSW,2031,22148,36225,47105,22769,56129,83259,23078,57795,84639,23160,59853,89077,23425,60489,90205,23350,62988,94736,23235,65758,98479,23132,67201,101363
NSW,2032,8849,26454,34366,8395,40668,57109,8408,41779,58458,8418,42003,60210,8495,43880,62100,8359,45535,64428,8258,46012,67029,8438,46743,70688
NSW,2033,6454,30411,41007,6945,46979,69990,7141,47025,69138,7203,48176,70290,7380,48570,72478,7432,49669,73204,7468,51750,75873,7232,54453,79427
NSW,2034,14133,36919,48312,14026,56675,83308,14017,58955,85733,14469,61124,91364,14456,62169,91092,14437,65328,99220,14591,67561,99267,14440,68730,103372
NSW,2035,18371,31605,38889,20493,48136,66603,20950,48996,71091,21300,50244,71062,21634,51245,75547,22141,52962,78096,22387,54627,80238,22656,55463,86899
NSW,2036,14406,30664,35614,15815,45237,59546,16217,46686,60829,16592,48200,64026,17087,49416,65398,17558,50874,68513,18514,53177,69983,19196,54017,71459
NSW,2037,8535,34257,47031,8888,48913,73502,9525,49195,78117,10248,51537,77692,10483,52875,81235,10704,55923,83794,10549,58478,87266,10758,59717,90496
NSW,2038,6014,42027,53472,5866,60342,85624,5961,61016,86976,5999,63066,92351,6205,63374,91942,6326,67402,97633,6368,69636,99912,6347,71206,103586
NSW,2039,5479,44725,56261,5626,65743,92312,5751,67274,95474,5863,71116,103107,5943,72599,101616,6058,74521,106474,5987,78404,112366,6007,80787,113594
NSW,2040,12824,38936,47797,12932,59110,78983,13200,60551,82041,13258,63428,86509,13449,64599,87522,13870,66946,92048,14321,69394,95025,14342,72151,97592
NSW,2041,11181,46080,69266,10684,67300,117342,10905,68829,116682,10970,70619,120235,11088,72359,127913,11253,74951,127145,11229,78525,132937,10946,79809,136771
NSW,2042,12149,35351,42362,12430,51936,66153,12639,52727,66983,13060,54045,69422,13403,56437,71213,13578,59023,76145,13657,61886,79147,13335,63373,81548
NSW,2043,3906,41468,46782,5020,63579,76925,5415,65494,76653,5762,69329,79928,6057,70034,82040,6592,73796,86246,6705,77763,90916,6656,79994,94888
NSW,2044,4443,33193,36232,4934,50543,58399,5038,51162,60830,5079,53944,63983,5305,54706,65839,5438,58074,69005,5551,59091,71054,5532,63492,75280
NSW,2045,4295,33975,49013,4047,49585,91343,4044,51153,94524,3974,53582,97055,4042,54340,96100,4081,55894,96641,4125,59270,100281,4111,63210,108233
NSW,2046,15762,37260,46484,16163,54211,74756,16265,54897,76775,16470,56302,79132,16655,57998,83192,16983,59470,86678,17139,61689,88660,17019,63472,90501
NSW,2047,7708,42017,56142,7626,60843,90204,7678,62417,91443,7763,62821,93342,7920,63528,93589,8061,65217,98108,8094,66925,99678,8050,69061,106374
NSW,2048,4946,36368,44062,4928,53868,70524,5021,54678,72494,5157,56420,75200,5242,58495,78042,5330,60483,80694,5326,62918,83556,5193,64886,87050
NSW,2049,6585,35597,41986,6596,51885,67698,6790,53132,69884,7044,53748,71178,7593,55607,72144,7930,58652,75734,8119,62293,79903,7999,64119,83445
NSW,2050,3727,40571,47988,5079,60498,75181,5409,59752,74358,5617,60969,76065,5729,63365,81260,5931,64504,82369,5864,67756,84833,5768,69045,86344
NSW,2057,,,,,,,,,,,,,205,54544,85233,,,,,,,,,
NSW,2059,,,,,,,,,,,,,225,73327,133541,205,72343,121092,,,,,,
NSW,2060,9550,41239,63378,10188,61424,94422,10414,62236,100332,10632,66384,105337,10970,66459,113216,11199,69913,117377,11208,72744,126865,11367,73629,109792
NSW,2061,4081,44362,73839,4219,69121,116154,4405,69828,114862,4551,70268,120033,4567,71792,122542,4665,77413,136681,4565,81484,146316,4471,82821,137182
NSW,2062,4637,44318,63239,4752,64474,96281,4759,66935,98131,4697,69940,104824,4752,72125,107131,4841,73128,110259,4814,75657,117024,4942,76594,122279
NSW,2063,4250,43699,89492,4174,62296,152050,4260,64991,151574,4298,66106,159736,4261,68593,169365,4338,72509,169142,4393,72779,168940,4445,73346,170619
NSW,2064,6484,38370,51375,6073,53206,78724,6119,55154,79117,6232,55771,81929,6351,56116,83072,6550,58360,87607,6465,61326,89776,6355,62655,96624
NSW,2065,18312,42671,57957,20274,63749,92085,20803,64956,92892,21082,67254,101075,21695,68225,97501,22180,71049,101901,22601,73855,106560,22912,76296,106756
NSW,2066,18140,39756,61635,18333,57476,95088,18801,58641,95917,20273,61139,97067,21168,62562,99324,21924,65731,104002,22268,68588,107503,22482,69532,110555
NSW,2067,14176,32826,46646,15747,42926,65861,16100,43505,67613,16593,43839,68883,17155,44712,70091,17487,45411,73910,17794,47978,79883,18049,47917,76599
NSW,2068,10432,38550,65179,10447,56436,110349,10584,59249,112123,10699,60101,115139,10973,61094,114502,11069,65166,121899,11157,68089,124364,11138,69024,128036
NSW,2069,8872,39597,70160,9055,54164,119012,9065,54870,114922,9231,55719,114867,9413,56640,116849,9760,58762,122446,9919,61321,120941,9705,62305,127899
NSW,2070,8176,38342,66231,8263,55588,107932,8560,54928,108137,8899,55776,109617,9222,57128,113215,9482,57868,112003,9601,59549,113331,9753,60433,111058
NSW,2071,8089,38423,73905,8481,52447,104972,8581,51773,104255,8873,53192,110528,8969,53849,107590,9052,53937,109323,9157,56231,110209,9142,55363,107897
NSW,2072,4278,36059,63146,4808,47963,90204,5088,46906,88570,5130,49601,88978,5351,49463,90891,5659,51461,92241,5759,52394,94160,5839,52419,97287
NSW,2073,10306,39133,67725,10357,54139,97281,10410,54947,100202,10559,56426,103138,10724,57023,104469,10983,59788,108138,11256,61802,109715,11303,62338,110145
NSW,2074,13925,36303,60581,14355,49817,93327,14427,50985,93320,14428,53369,99066,14644,54802,100029,14899,55859,104762,15171,58753,107933,15384,58738,107005
NSW,2075,12589,35458,60641,12992,48267,88794,13111,50313,90263,13471,51312,91382,13643,51899,92670,13796,53184,92346,13875,55680,97665,14014,56013,94499
NSW,2076,15146,35032,57612,15010,50790,91130,15107,51637,88087,15335,53167,90620,15744,54178,92932,15898,54697,94714,16089,56849,95232,16062,57791,97090
NSW,2077,20147,32431,38763,21650,45390,56542,21895,46203,57042,22931,47150,58723,24696,48018,59469,25855,50143,62381,26788,51709,63917,27184,52976,66034
NSW,2079,4539,32784,40619,4505,47273,60324,4535,48375,61231,4583,49362,63424,4603,50844,64082,4903,54031,66717,5033,55364,68780,5086,57922,70661
NSW,2080,1129,30387,40028,1052,43930,65657,1071,43921,62026,1083,44811,59631,1095,45576,60418,1114,48568,62861,1124,50885,65739,1126,52137,67233
NSW,2081,3364,33834,41292,3300,46420,60887,3322,48150,61695,3394,49558,64422,3442,50758,65481,3499,52213,67909,3459,53774,69321,3474,55598,71773
NSW,2082,3511,33846,40411,3268,46461,59147,3274,47504,61615,3313,50029,62429,3352,49949,66538,3383,51713,67097,3385,53530,67925,3435,55052,70524
NSW,2083,990,32189,38282,927,42341,57345,986,42692,58504,1005,44603,61132,1055,45070,62178,1039,45650,62167,1043,47636,65427,1066,51811,69746
NSW,2084,2533,33317,58752,2423,46925,87784,2402,48915,98632,2426,51300,91526,2468,52497,101705,2539,55569,98557,2542,57351,103108,2494,56407,100130
NSW,2085,7696,33270,46626,7137,44011,69025,7168,44914,69487,7207,46261,71297,7282,46582,72783,7365,48359,75271,7349,50454,76744,7350,52576,82027
NSW,2086,8743,31980,44632,8158,47472,70790,8268,48559,71938,8313,49611,74125,8502,50741,75756,8616,53158,78957,8707,54687,80792,8950,56940,84288
NSW,2087,7947,32431,46102,7502,47079,74988,7597,47883,80330,7770,49197,79655,7890,49460,79171,8006,51415,83653,8019,54201,87218,8068,55164,88015
NSW,2088,20047,44423,91232,19521,64448,161579,19636,65656,155143,19753,68562,161360,20182,68578,158897,20331,71043,171904,20303,73503,171144,20158,74126,177645
NSW,2089,9342,43405,63064,8810,61107,95209,8879,63377,100193,8908,66402,102762,9033,66474,100710,8989,69063,106505,8958,72274,112625,8797,72607,111716
NSW,2090,8778,44525,69147,9105,63140,105928,9242,64203,107605,9342,66907,115355,9424,68764,113285,9518,71519,124346,9662,74282,118004,9563,74017,118857
NSW,2092,4444,37015,67129,4424,57056,119506,4471,59927,115492,4572,58637,121568,4655,59739,124729,4602,61881,142874,4654,65236,132584,4693,67517,129241
NSW,2093,13505,35201,55291,14334,51519,92425,14603,53946,95675,14769,55992,99122,15063,56328,101350,15375,59247,109796,15463,61308,110590,15578,63626,113891
NSW,2094,4203,38929,57114,4103,59247,91566,4200,61674,94661,4260,61552,97136,4333,63801,103351,4351,66018,107648,4372,68943,110090,4368,69917,109384
NSW,2095,11486,34724,52323,11894,55713,99066,12168,57147,97655,12312,59318,101518,12323,62188,112527,12370,65537,130679,12359,69296,120204,12474,70933,125080
NSW,2096,9637,36702,46166,9843,54927,96406,9850,56236,87496,10021,57984,90633,10108,59933,93695,10386,61941,99791,10478,64907,107537,10544,67618,107910
NSW,2097,9327,33229,45166,9709,48077,76716,9928,49106,75833,10270,49790,76397,10464,51689,81898,10584,53387,81762,10671,54571,85207,10706,57063,88298
NSW,2099,23131,31924,38794,25053,44748,60873,25603,45787,62177,25910,47738,64989,26514,48106,65837,27327,49758,69891,28349,52203,72155,28657,53138,73806
NSW,2100,12422,31332,41440,13302,45334,64553,13514,47091,66553,13699,48733,68886,13875,49963,71830,14201,51741,74681,14533,53233,79401,14568,54804,79896
NSW,2101,11455,33241,43301,12049,46822,66985,12328,47638,69937,12553,48808,69642,12619,49649,71670,12820,51045,76120,12821,53070,96015,12955,53864,76818
NSW,2102,2836,33705,42416,4252,48195,68014,4473,49581,67324,4663,51431,73662,4747,51257,74929,4806,53660,77488,5022,55973,78641,5102,56942,80744
NSW,2103,6763,32585,43931,7167,45035,66394,7260,45592,66302,7321,47628,70372,7407,48687,73673,7429,50820,74826,7431,53134,76931,7448,53583,77920
NSW,2104,2515,33260,64123,2377,43843,94425,2363,45788,93534,2407,46693,97021,2411,47671,95246,2431,50617,102946,2465,51269,103866,2393,49590,125775
NSW,2105,1473,36575,57252,1361,44826,92337,1373,46737,86232,1381,49218,96571,1398,52054,99047,1414,52017,105646,1386,56543,106436,1411,56240,106911
NSW,2106,6299,34305,51475,6448,46099,78116,6520,47830,79855,6619,49279,83861,6769,49269,88175,6820,52192,92436,6905,53461,95682,6906,55857,88918
NSW,2107,10375,31608,48963,9847,43922,77408,10078,44973,79808,10122,46712,84776,10219,47583,84194,10378,49378,88665,10426,51913,97053,10531,52332,95496
NSW,2108,1403,35457,65762,1290,48410,127995,1316,45675,115009,1297,48812,138382,1279,52234,230330,1284,55034,147940,1293,58124,141830,1280,57293,132960
NSW,2110,5989,41908,83538,6025,62610,149761,6104,63037,152102,6050,66491,147757,6104,65705,156069,6264,67339,177615,6186,69519,164125,6173,71802,175907
NSW,2111,8868,37193,50409,8758,52286,79902,8875,53791,81956,9073,55925,85889,9312,57628,87513,9490,59718,91567,9751,61937,94833,9881,64983,100503
NSW,2112,15554,32290,39910,17557,46141,61076,18068,46340,62239,19461,47356,64493,20739,48206,64746,22008,49787,69169,23455,51950,68844,23918,52632,70254
NSW,2113,10736,31739,38675,11482,47428,61231,12045,47949,62368,12505,49707,63503,13108,51143,65350,14184,52999,68148,15362,54769,70880,16835,55385,71650
NSW,2114,11789,32654,38148,13787,45844,56881,14341,46455,57537,15169,47221,59141,15461,48574,60221,15735,49372,63076,16144,50501,63421,16307,52278,66032
NSW,2115,4434,29408,34144,5281,43465,52723,5594,44990,55211,5846,46689,56337,6462,47350,58087,6775,48001,58771,7111,49407,61550,7243,50913,63322
NSW,2116,2816,31661,35261,3375,43310,51204,3427,43905,51686,3564,45492,53459,3775,45287,54654,3848,46293,56584,4089,48997,58046,4212,49300,59421
NSW,2117,10459,30903,37319,11112,41659,53187,11548,41809,54074,11858,42581,54882,12231,43284,56133,12652,44500,58758,12855,45570,59410,13026,46121,64881
NSW,2118,13318,30865,38255,13653,40458,54146,13928,40799,54666,14516,41540,55182,15327,40969,55197,15858,41746,56369,16645,42749,58066,16556,44127,59451
NSW,2119,7457,36861,54780,7255,50223,82737,7341,52032,83056,7489,53429,83590,7801,53041,85771,7999,55101,88901,7960,57332,89473,8052,56941,91850
NSW,2120,13709,33436,44056,12686,47499,65031,12652,48545,66470,12854,49336,67771,12986,50406,68726,13158,52172,71619,13486,53384,73780,13528,55113,75004
NSW,2121,15864,32514,43279,17001,44220,62597,17252,43822,62276,17938,43771,63652,18629,44409,64052,20358,45778,67499,21558,48177,66969,22289,49720,68828
NSW,2122,18132,30467,38017,18656,39938,54059,18850,40306,53853,19253,40265,55264,19754,40038,54855,19925,41250,57140,20369,42654,58707,20369,42941,62439
NSW,2124,,,,,,,,,,,,,477,35302,49392,463,33390,49172,425,34942,52471,369,33882,50328
NSW,2125,10901,34685,51963,10867,49837,78015,10912,49587,77378,11007,50357,78356,11129,50523,79247,11214,53087,81002,11266,54148,82105,11283,53531,85526
NSW,2126,11937,32670,43789,11804,46932,65741,11837,46228,66037,11988,46754,66268,12051,48157,67281,12194,49363,69732,12305,51408,71111,12384,52865,73176
NSW,2127,2795,39873,44125,6933,52832,62532,7788,53757,63380,8701,53961,63998,10329,52715,62634,12053,53014,63176,13262,54307,63954,14245,54511,64944
NSW,2128,487,29852,34328,1060,41153,48802,1186,43173,50947,1360,40875,48730,1380,43443,49961,1405,43865,50150,1426,45005,52052,1415,45637,53673
NSW,2130,4659,34370,40799,4513,51459,66285,4555,51397,67406,4679,55125,70985,4854,56677,72852,5007,59739,77162,5244,62204,80106,5269,64000,82558
NSW,2131,12998,28186,33706,13646,41827,52020,14122,41546,52620,14653,42249,53731,15600,41827,53554,15774,43289,55882,16175,44977,57071,15768,46462,59738
NSW,2132,5910,30874,38167,6080,44870,59022,6141,46025,61098,6209,46268,62437,6387,47437,63762,6469,48688,65647,6580,50086,67532,6493,51444,69480
NSW,2133,5786,29578,34465,5972,43290,53614,6093,44695,54987,6303,45999,57922,6416,46880,59179,6494,47672,60102,6605,50299,62424,6492,51651,64429
NSW,2134,6806,24936,33379,8858,33267,47303,8896,33744,48328,9298,34167,49368,9633,34766,49748,10026,33928,50527,10523,33503,49530,10897,33163,49545
NSW,2135,13084,27891,42379,16002,39554,63608,16497,39508,63678,17028,40583,65516,17641,41362,66012,18278,40899,67545,19155,40300,67340,19557,41550,70244
NSW,2136,4589,28850,34803,4393,43753,55809,4386,44513,56810,4559,44741,57842,4693,44053,57076,4763,44810,59006,4844,47068,60981,4798,49637,63892
NSW,2137,12764,34609,44150,15888,49011,71292,16214,50121,73034,16667,51137,73278,17168,52350,75074,17646,53563,78757,17907,55528,79625,17833,57314,81508
NSW,2138,5338,34979,41537,10493,45879,59109,11016,45614,58990,11558,46072,60277,11871,46343,62319,12094,46644,62502,12351,49341,65391,12646,50318,67571
NSW,2140,4883,27182,33330,8201,40847,49193,8727,41340,49275,9488,42370,50342,10799,41975,50133,12227,41547,51159,13472,41486,51653,14188,43378,53128
NSW,2141,11742,26344,29375,15000,35580,43289,15650,35617,43345,16374,35456,44664,17122,35770,44740,18050,36207,45128,18960,36798,46294,19579,36863,47450
NSW,2142,8643,25535,28439,11345,37065,42610,11854,37479,43078,12651,37799,43926,14041,37493,43919,14651,37639,44800,15650,37931,45011,16072,37768,45992
NSW,2143,3668,27550,30489,3998,38726,44663,4272,37847,45102,4592,38658,46047,4858,38320,45722,5127,39282,47617,5205,41061,49085,5256,41566,50517
NSW,2144,13335,21465,25005,16284,30344,36273,17158,30636,36716,18685,30516,37953,20085,30730,37685,21592,30543,37686,22927,31731,38575,22925,31385,39140
NSW,2145,35001,31085,34289,41470,44679,52067,42042,45577,52944,43325,46337,54429,45189,47285,55358,47073,48591,57353,49180,50231,58988,50433,51384,60928
NSW,2146,9929,32075,35077,9355,44685,50721,9519,45424,51745,9890,45927,52548,10255,46528,53252,10900,47485,54430,11536,49652,56214,11596,50545,58277
NSW,2147,20248,32200,35400,19243,44719,50839,19467,45209,51719,19871,46310,53102,20143,47256,54103,20449,48605,55976,20971,50123,57436,21247,50922,59061
NSW,2148,29287,30139,32177,32103,42132,46436,32929,42691,47344,34358,43716,48383,35816,44402,49049,37312,45510,50621,38907,46791,51910,39253,47442,52945
NSW,2150,12626,26728,29992,17114,41999,48453,17767,43360,50526,19415,43794,51291,21735,44971,52675,23118,47165,54953,24295,49052,57491,24675,49825,58911
NSW,2151,10803,32822,38320,11530,44932,55757,11556,45671,56044,11868,47034,57034,12426,47701,57940,12565,49543,61436,12829,51235,63970,12865,52394,64504
NSW,2152,4618,34133,38589,6243,46166,55637,6431,48096,58030,6498,49996,59793,6648,50440,59958,6774,52312,62297,6852,54437,64383,6804,55825,65892
NSW,2153,33441,34105,40962,33711,47672,60484,34435,48274,61846,34703,49440,63623,35652,50507,64558,36484,51933,67494,37220,53979,69184,37850,55634,71776
NSW,2154,22673,33546,44829,24222,47261,67126,24487,47931,68370,24777,47902,68889,24929,48979,69767,25274,50010,71973,25777,51621,73675,25901,53297,76691
NSW,2155,19058,36770,42571,28466,52205,64324,30106,52728,65742,32411,54113,67212,34913,54900,68262,37915,55868,70021,40235,58056,71708,43339,59939,74607
NSW,2156,8191,34279,51847,8585,45781,75471,8721,47047,76553,8694,47944,97768,8878,49359,82028,8891,50695,88844,8801,52662,89278,8849,53979,93565
NSW,2157,2357,28792,39067,2282,39773,60541,2293,41697,60511,2344,43132,63095,2421,42916,65369,2471,45225,69430,2539,48000,70217,2540,48075,72115
NSW,2158,5581,33294,57746,5490,44854,81737,5636,46438,89971,5653,48497,89926,5690,50209,85650,5738,50847,104893,5722,52955,94269,5724,54813,103435
NSW,2159,3278,30267,44283,3268,42144,65346,3298,42290,67624,3243,45091,69827,3324,45893,73327,3324,46631,74569,3326,47943,76911,3312,50414,81993
NSW,2160,15566,26830,29777,16354,38213,44607,16704,38759,45287,17577,38767,45808,18765,38517,45624,19528,38840,47129,20361,39824,48050,20755,40128,48669
NSW,2161,11872,25301,28617,12619,36872,42226,12816,37351,43097,13431,37591,43900,14035,37604,44431,14644,38014,45539,15267,38812,46041,15734,39280,46828
NSW,2162,7644,27861,30879,7878,37367,43682,8122,38565,44877,8287,38987,45878,8549,38936,45880,8980,38757,46444,9235,39378,46831,9400,39594,47517
NSW,2163,3641,25859,27811,3331,35829,40881,3434,36217,40384,3549,37124,40987,3835,36624,41024,4123,36911,42408,4168,38613,43581,4236,39584,43662
NSW,2164,10878,28505,32204,9385,40752,47432,9386,41530,48412,9514,42503,50021,9549,42546,50647,9738,43665,51477,9970,44663,52064,9922,45448,53506
NSW,2165,16188,26272,28656,15784,37172,42421,16131,37551,43121,16704,38121,44199,17067,38471,44541,17714,38484,44876,18085,39784,45618,17920,40406,46856
NSW,2166,21035,24206,27059,21672,35816,40570,22338,36801,42363,23453,37016,42852,24349,37435,42996,25274,38441,44662,25732,39442,44889,26118,40113,45882
NSW,2167,3779,31172,33499,4774,44959,50178,5034,44837,50367,5293,47234,52694,5475,47512,53129,5855,49025,54576,6006,51269,56628,6100,51317,57750
NSW,2168,18303,28037,29897,17826,40137,44782,18240,40710,45223,18773,41557,46527,19167,42195,46804,19752,42750,47872,20205,44219,48588,20343,44509,48976
NSW,2170,44048,29552,32334,46735,42130,48658,47870,42931,49502,49825,43579,50610,51303,44282,51139,53244,45370,52399,55490,46769,53589,56545,47555,54323
NSW,2171,19548,30938,34576,17796,46119,53214,18716,47305,54615,19626,48002,56251,20391,48668,56360,20824,49812,58076,21362,51063,59733,21548,52243,60930
NSW,2172,423,38129,44877,1311,55236,65592,1453,58138,67745,1599,56548,68485,1660,58031,71593,1711,59668,72380,1745,61143,74425,1736,64845,77358
NSW,2173,7591,37720,38013,8165,51575,56843,8332,52727,58206,8424,53467,59651,8556,53513,59669,8691,55268,61940,8804,56467,63042,8812,58632,64989
NSW,2174,296,40261,37008,590,45736,55936,862,52248,59338,1356,51898,59532,2387,53557,60526,3754,55158,62097,4834,55527,62395,5590,55921,63939
