state,postcode,individuals_2003-04,median_taxable_income_2003-04,average_taxable_income_2003-04,individuals_2013-14,median_taxable_income_2013-14,average_taxable_income_2013-14,individuals_2014-15,median_taxable_income_2014-15,average_taxable_income_2014-15,individuals_2015-16,median_taxable_income_2015-16,average_taxable_income_2015-16,individuals_2016-17,median_taxable_income_2016-17,average_taxable_income_2016-17,individuals_2017-18,median_taxable_income_2017-18,average_taxable_income_2017-18,individuals_2018-19,median_taxable_income_2018-19,average_taxable_income_2018-19,individuals_2019-20,median_taxable_income_2019-20,average_taxable_income_2019-20
NSW,2630,5496,26377,31194,4971,38865,47395,4886,39752,48109,4910,40833,48963,5101,41329,50949,5134,43055,52510,5129,44209,53153,5145,45883,55408
NSW,2631,366,19129,24084,344,35930,45490,337,36254,48968,338,37024,54954,350,38582,55733,358,37604,56811,362,37169,46380,356,34142,43824
NSW,2632,1138,27215,30734,1097,39026,45729,1088,40432,46239,1079,42143,49550,1095,44811,52468,1096,43568,51937,1098,44611,52447,1130,47183,53618
NSW,2633,275,22350,24620,219,32805,39933,219,32496,43793,207,34636,45407,205,36286,47019,208,35588,43443,202,31752,40917,,,
NSW,2640,18281,29329,35419,20109,41491,51856,20515,42688,54856,21079,43336,54200,21645,43943,54217,22192,45282,56000,22562,47458,58284,23199,48056,59713
NSW,2641,9374,28292,31064,8117,38525,43360,7960,39114,44045,8015,39236,44505,8223,40104,44999,8384,40756,46218,8538,41783,48662,8815,43008,48022
NSW,2642,2872,25369,29933,2862,38706,45805,2874,39747,47621,2944,41055,47682,3023,41220,48162,3082,41636,49636,3123,43286,49895,3215,44226,50018
NSW,2643,1349,27051,29675,1469,35377,40590,1481,37013,42473,1501,37000,42920,1543,37520,42447,1544,41262,45546,1565,43596,46912,1613,43828,47199
NSW,2644,1455,23995,25960,1382,35206,42317,1352,37485,48710,1397,36735,48746,1426,37245,47865,1425,39118,53341,1364,40426,46423,1381,41299,53690
NSW,2645,267,27815,29061,240,33868,44365,249,36989,47794,228,40952,51074,227,39506,47084,238,37639,42941,233,38260,43817,223,39314,42782
NSW,2646,4265,26246,30450,3959,36864,44191,3917,37875,46176,3889,38004,46511,3885,38728,44896,3949,39549,47334,3928,40463,46187,3977,41928,47218
NSW,2647,1275,25373,28727,1156,36399,43279,1156,36851,43801,1207,36834,43352,1240,36099,42454,1273,39476,46495,1279,38580,47050,1350,39607,46082
NSW,2648,1481,19663,22161,1194,32304,39090,1233,33282,40774,1213,32510,41446,1218,34737,43813,1213,37005,46872,1226,36810,42747,1302,36291,41104
NSW,2650,30131,29000,33306,31881,42160,51213,32082,43667,52709,32602,44817,54599,33206,45362,54756,33932,47111,56870,34463,48864,58155,35359,50085,59573
NSW,2651,1020,25878,27758,1035,43989,47243,1023,45211,48107,1108,47083,50030,1140,48194,50658,1223,50210,53135,1300,50436,53826,1308,51666,56686
NSW,2652,3134,24153,26539,2734,38102,47226,2766,39850,47433,2823,40361,47733,2842,42400,49416,2877,42166,47605,2868,44094,47628,2886,43247,47013
NSW,2653,1438,24525,28298,1262,37646,43100,1307,39978,46410,1354,40300,47368,1400,41424,48418,1416,42409,48699,1370,43371,51123,1367,44634,50617
NSW,2655,830,25358,28348,769,38573,44435,785,38924,45218,786,41805,46460,819,41913,44955,793,42960,49786,786,42890,47515,799,45246,50102
NSW,2656,823,25840,29953,699,39076,47726,695,40233,47242,710,41790,52011,702,41675,48139,709,37180,43727,729,39265,43346,729,39974,48024
NSW,2658,832,22094,26917,741,33755,38215,749,33531,39626,710,34735,43524,740,35562,42256,753,36640,45093,745,37254,44327,772,38532,45055
NSW,2659,569,24173,27717,538,34860,39346,526,36539,43684,524,37310,42618,522,34912,40678,513,33859,41904,503,35124,42172,501,35686,43079
NSW,2660,881,24365,28158,834,34702,42293,833,37791,45142,850,37545,44872,891,39423,46110,863,39834,48500,865,41852,48053,848,41336,47623
NSW,2663,2123,25574,28650,2171,38334,45012,2199,40294,46699,2223,41184,46926,2319,42522,48234,2373,43543,49758,2437,45135,51538,2530,46410,52028
NSW,2665,1423,19424,19332,1246,32203,39779,1215,32896,40493,1203,36235,45613,1209,35414,44476,1185,31492,36397,1195,32772,35800,1181,29339,32650
NSW,2666,3041,22535,25597,2950,35707,42713,2967,37139,43661,3035,38122,46101,3095,37129,45508,3109,37293,44835,3128,37812,48108,3126,38719,45102
NSW,2668,245,17172,20836,215,29673,42697,213,32291,45221,221,32372,44654,202,33061,40964,201,36010,42775,201,30303,44150,206,30535,32007
NSW,2669,1171,17047,19287,980,35726,47506,977,36776,45225,952,37154,45642,953,37269,46305,911,35291,38205,886,33955,40631,879,29580,26179
NSW,2671,2374,23060,25869,2254,36551,46928,2204,37628,48909,2196,37827,48675,2265,40016,50889,2265,39387,50017,2310,41622,50902,2311,42047,51619
NSW,2672,949,20096,23001,816,38810,48418,815,37626,48064,807,37683,47800,842,38918,46184,817,37667,45572,838,35971,43884,844,37763,42629
NSW,2675,985,24472,23254,967,38106,46301,962,39183,47541,993,38699,45793,988,39959,45618,981,42903,45578,988,42652,45895,1039,42066,47173
NSW,2680,13335,28197,32133,13552,38813,45195,13726,40062,46804,14428,40957,49066,15009,42586,48941,15379,44192,51189,15688,47368,53989,16449,47134,54390
NSW,2681,1122,30142,32419,938,37422,46171,935,40226,47644,957,40808,46532,987,42206,46096,1011,43853,48213,1067,45189,49837,1075,45791,51166
NSW,2700,2861,25355,28302,2565,36209,42111,2527,37021,43469,2550,39365,45055,2555,39471,44640,2619,40106,44033,2639,42082,46747,2647,43333,48243
NSW,2701,1206,25245,28173,1246,39981,47186,1278,41385,47472,1294,42311,52725,1329,42045,50633,1373,43036,49208,1382,45798,51746,1382,44748,49871
NSW,2702,414,21220,24198,375,38648,48042,363,39737,50036,388,38384,48566,393,36987,46183,398,37155,41383,405,43386,48789,402,43653,45450
NSW,2703,512,28664,30099,404,37700,39713,405,39833,41905,406,40232,42889,408,40958,43149,386,43658,46671,395,45041,48678,391,46622,49152
NSW,2705,5808,27705,30309,5506,38448,43424,5560,40382,44748,5684,40903,46587,5745,42518,47664,5838,43880,48494,5943,45531,49955,6040,46326,50995
NSW,2706,700,29429,34944,619,41099,39945,626,40939,42618,627,42193,44440,650,42415,44954,675,45791,45165,661,48308,49494,656,48394,52405
NSW,2707,1059,25318,28306,908,34521,39363,884,37436,44477,882,39267,46800,902,38757,43805,863,39401,44205,869,42219,46664,864,41390,43981
NSW,2710,6388,23714,26456,5768,36459,41907,5919,37307,44387,5849,36896,42786,5695,37399,43721,5688,40194,47278,5639,40776,45986,5712,41092,45811
NSW,2711,2116,22995,25386,1827,35682,41925,1921,36791,43248,1923,38227,44479,1885,39119,45893,1869,41561,47244,1822,42402,46293,1836,43039,47722
NSW,2712,837,23688,26816,754,33019,39501,763,36163,46227,742,35506,43357,733,34744,41662,710,37384,44690,700,37841,44603,724,35250,54735
NSW,2713,1832,23420,25971,1582,33327,38590,1613,33530,39912,1595,34555,39994,1538,35347,39348,1571,37042,41124,1538,37430,40717,1549,37740,41424
NSW,2714,1387,23196,26725,1412,32426,39459,1407,32870,40609,1391,33471,43367,1409,34118,42597,1454,35270,43407,1442,37246,45709,1499,37980,46421
NSW,2715,874,23920,25000,798,37070,45479,774,39123,44719,795,38959,46786,800,40815,47206,799,42563,52230,856,39410,45427,898,42233,45626
NSW,2716,763,27577,32622,696,34590,44301,695,37017,45672,706,37759,47428,703,37451,47745,675,37948,47924,682,40201,48975,642,39676,46913
NSW,2717,811,20280,22339,605,32824,39168,577,34242,40032,590,35232,42498,586,35146,42707,616,36703,44746,621,39514,50433,606,42484,51370
NSW,2720,4493,27890,31991,4273,40479,49445,4304,42435,50659,4346,43321,51922,4381,43800,52114,4409,44837,53821,4399,47512,55280,4532,47988,56279
NSW,2722,1859,23023,27173,1705,35914,42391,1727,36905,45209,1740,38344,47611,1733,39370,47594,1731,39764,47622,1766,39476,45887,1828,41849,48221
NSW,2727,237,18854,20610,214,26976,39317,215,32966,46852,218,37031,52868,237,39129,56720,241,43245,58765,233,39000,50442,239,38548,58027
NSW,2729,972,23906,27780,908,35207,43191,891,39275,49583,912,40291,50361,920,38960,51237,901,41897,51606,919,42586,51170,932,43884,54029
NSW,2730,865,25334,29264,799,35022,39569,786,36168,40123,812,37569,41969,829,36818,42406,822,38141,44104,821,40070,46019,775,41323,46406
NSW,2731,2817,24735,28511,3322,36438,44430,3352,37967,47575,3460,38411,47776,3580,39745,65831,3683,41923,52995,3748,43112,53309,3933,44066,53434
NSW,2732,1146,20916,22324,1024,31850,39143,1028,32116,43000,1034,31799,40262,1037,33221,40586,1035,34874,44392,1055,34618,42656,1039,34817,42313
NSW,2733,407,24050,22906,356,35696,43029,351,36451,45532,338,38903,43771,339,36606,40323,359,39813,45536,343,41037,46801,348,43357,46655
NSW,2736,288,20381,23997,221,30281,35927,216,32253,39396,200,32702,39674,,,,,,,,,,228,36835,48862
NSW,2737,408,21282,26017,392,34837,34171,394,37385,40735,436,39746,48511,452,35908,67408,443,44015,52912,490,43242,53269,509,39320,53464
NSW,2738,675,25263,29964,801,38347,46726,818,41075,50933,889,41970,53352,915,45321,62285,981,46547,56825,1019,47110,59216,1090,48815,60489
NSW,2739,698,23384,26823,676,33496,40615,652,36848,42466,671,39935,48699,680,40546,49321,737,42297,52011,755,43453,53206,828,41181,54706
NSW,2745,14384,35261,38967,16461,50170,59029,16930,51748,61006,17448,53053,62614,17993,53891,63640,18496,55497,66058,18893,57330,67484,19184,58384,69597
NSW,2747,19009,30648,32874,20151,45267,50022,21461,46085,50980,23029,48007,53241,24506,48889,54181,26245,50594,57939,28019,52348,57867,29261,53519,59434
NSW,2748,1565,32261,40899,1447,44486,58923,1408,47232,63040,1377,48009,66440,1401,48938,70144,1333,50545,75225,1318,51436,71976,1304,52543,72378
NSW,2749,8646,32617,35483,9385,47455,54755,9564,48524,56104,9706,50402,57692,9898,50548,58313,9966,51718,59980,9980,53435,61571,9913,54208,62678
NSW,2750,25751,31997,35516,23775,46042,53192,24321,46842,53681,24711,48014,55274,25584,48802,56164,26421,50617,58356,27102,51839,59596,27603,53155,61292
NSW,2751,,,,,,,,,,,,,226,44705,54845,215,49031,66089,,,,,,
NSW,2752,2724,31844,35995,2905,45952,55184,2968,47179,54352,3007,49736,57006,3096,50845,58085,3174,53691,60425,3316,55541,62087,3409,56836,64338
NSW,2753,9495,30175,34107,9430,42447,52539,9528,44248,54435,9883,45066,54963,9947,46043,56367,10114,47472,57914,10193,48725,60093,10294,50196,60893
NSW,2754,3205,31608,35584,3142,42370,51505,3177,42538,51439,3308,44421,53696,3379,45418,55639,3569,47430,56396,3693,49873,58260,3872,51093,60360
NSW,2756,19113,30859,35304,19216,44635,52733,19734,45745,54996,20196,47070,57339,20658,48326,58226,20911,50276,60874,20988,51783,61491,21348,52631,63125
NSW,2757,592,28774,35535,583,40391,50634,590,39092,49972,564,43134,57998,585,43269,51614,589,48010,56935,565,46211,57512,559,49609,66854
NSW,2758,5202,30689,37283,5300,43487,55937,5354,46079,57273,5466,48235,58769,5502,48758,60601,5602,48775,61581,5524,50875,64654,5604,51993,65374
NSW,2759,16851,32297,34594,15911,46674,51455,15943,47527,52582,16119,48990,54259,16232,49591,55050,16257,50976,56613,16353,52786,58723,16028,54147,59605
NSW,2760,12834,30255,31730,14967,43259,46840,15918,44569,47822,17016,45619,49389,17586,47013,50268,18577,48354,52590,19299,50097,53200,19572,50545,54159
NSW,2761,13771,32585,33136,15501,45704,49253,16244,46277,50164,17265,47517,51562,18294,48372,52776,19220,50005,54511,19878,51544,55782,20036,52902,57329
