year,postcode,total_population,median_total_personal_income_weekly,median_total_family_income_weekly,labor_force
2011,3278,454,548,1365,86
2011,3280,29967,525,1273,7955
2011,3281,1739,628,1551,303
2011,3282,2312,545,1282,539
2011,3283,946,577,1342,174
2011,3284,3093,510,1283,996
2011,3285,1259,504,1367,287
2011,3286,618,475,1025,162
2011,3287,432,518,1278,72
2011,3289,734,417,1059,225
2011,3292,311,394,857,131
2011,3293,264,497,985,71
2011,3294,751,473,1108,188
2011,3300,10104,512,1213,3135
2011,3301,1647,616,1389,320
2011,3302,554,497,1304,130
2011,3303,418,500,1125,103
2011,3304,2474,442,1088,776
2011,3305,12651,489,1263,3613
2011,3309,222,468,1016,68
2011,3310,364,385,1034,125
2011,3311,1764,377,881,713
2011,3312,947,491,1043,236
2011,3314,778,551,1104,132
2011,3315,1655,405,969,582
2011,3317,315,410,844,95
2011,3318,976,465,1163,331
2011,3319,324,594,1156,91
2011,3321,1182,533,1518,277
2011,3324,559,372,772,190
2011,3325,513,387,1078,167
2011,3328,1480,585,1503,315
2011,3329,316,530,1016,71
2011,3330,433,450,1072,118
2011,3331,4192,610,1595,933
2011,3332,950,606,1421,191
2011,3333,738,543,1229,195
2011,3334,490,514,1201,137
2011,3335,1761,451,1118,537
2011,3337,31873,559,1316,7590
2011,3338,15803,529,1259,4155
2011,3340,17995,559,1459,4539
2011,3341,1522,597,1668,299
2011,3342,3125,479,1236,926
2011,3345,1219,479,1434,357
2011,3350,54341,530,1365,14933
2011,3351,7720,488,1208,1988
2011,3352,14628,560,1406,3462
2011,3355,13020,435,979,4687
2011,3356,14332,456,1032,4498
2011,3357,3245,596,1533,776
2011,3360,793,408,1053,279
2011,3361,927,410,981,299
2011,3363,3303,450,1170,1135
2011,3364,2034,496,1218,523
2011,3370,1656,385,867,654
2011,3371,1197,372,930,459
2011,3373,1811,387,921,704
2011,3374,570,517,1375,151
2011,3375,248,427,990,79
2011,3377,8683,491,1097,3058
2011,3378,326,590,969,54
2011,3379,585,397,828,202
2011,3380,6150,452,1078,2082
2011,3381,978,513,1125,295
2011,3384,830,425,994,236
2011,3385,590,504,1189,175
2011,3387,333,414,946,86
2011,3388,549,415,1011,204
2011,3390,991,444,993,336
2011,3391,261,402,1031,69
2011,3392,667,366,892,275
2011,3393,2745,450,1019,963
2011,3395,641,465,1156,207
2011,3396,556,439,1176,228
2011,3400,14285,525,1177,4156
2011,3401,4526,554,1344,950
2011,3407,328,522,1171,98
2011,3409,1078,532,1290,252
2011,3412,217,331,850,100
2011,3413,253,523,1307,44
2011,3414,1662,396,961,683
2011,3418,2799,501,1099,860
2011,3419,1061,448,989,349
2011,3420,303,566,1260,55
2011,3423,632,338,735,247
2011,3424,734,404,955,277
2011,3427,2275,565,1408,555
2011,3428,651,583,1478,165
2011,3429,34575,631,1648,7563
2011,3430,433,562,1633,104
2011,3431,3753,674,1837,764
2011,3433,321,729,1978,55
2011,3434,4412,589,1573,980
2011,3435,2706,549,1448,688
2011,3437,8698,656,1890,1944
2011,3438,2380,632,1753,544
2011,3440,1864,635,1835,433
2011,3441,1321,715,1881,331
2011,3442,7189,617,1768,1730
2011,3444,8494,504,1286,2588
2011,3446,612,462,1171,196
2011,3447,463,468,985,137
2011,3448,670,472,1170,203
2011,3450,6751,465,1051,2384
2011,3451,4805,477,1159,1675
2011,3453,1549,514,1177,402
2011,3458,1714,446,1195,552
2011,3460,2565,462,1015,853
2011,3461,3954,467,1004,1176
2011,3462,989,414,981,313
2011,3463,2854,426,1054,1052
2011,3464,1143,413,960,383
2011,3465,8649,387,866,3614
2011,3467,1264,374,776,522
2011,3468,236,384,1012,97
2011,3469,419,374,794,158
2011,3472,1405,348,710,686
2011,3475,300,329,789,113
2011,3477,396,348,774,142
2011,3478,3029,397,910,1085
2011,3480,1694,411,989,598
2011,3482,455,446,1105,119
2011,3483,662,438,1068,226
2011,3485,191,350,944,89
2011,3490,1085,446,1166,377
2011,3491,431,393,924,146
2011,3494,637,530,1177,120
2011,3496,5851,429,1058,1729
2011,3498,5015,501,1234,1276
2011,3500,30648,462,1064,9329
2011,3501,1931,514,1367,421
2011,3505,4642,427,1034,1387
2011,3507,416,510,1100,93
2011,3509,202,485,1078,65
2011,3512,549,478,1156,125
2011,3515,899,530,1407,212
2011,3516,758,424,1053,213
2011,3517,1510,374,865,572
2011,3518,1297,356,756,583
2011,3520,247,307,576,144
2011,3521,736,454,1116,199
2011,3522,405,391,1062,127
2011,3523,3501,369,830,1525
2011,3525,1288,405,897,455
2011,3527,789,354,814,326
2011,3530,338,416,1262,81
2011,3531,321,462,933,92
2011,3533,847,450,1039,281
2011,3537,1173,397,965,412
2011,3540,361,389,838,118
2011,3542,224,422,1083,66
2011,3544,333,476,1052,83
2011,3546,479,488,1062,146
2011,3549,3753,454,1073,956
2011,3550,40146,515,1242,11943
2011,3551,24132,605,1528,5058
2011,3555,18409,491,1111,5850
2011,3556,11182,453,996,3479
2011,3557,609,554,1350,141
2011,3558,972,384,948,350
2011,3559,562,398,1037,169
2011,3561,4752,474,1137,1424
2011,3562,283,388,891,72
2011,3563,779,406,887,235
2011,3564,15200,510,1165,4285
2011,3566,522,376,1039,167
2011,3567,619,408,1019,173
2011,3568,2812,451,1022,971
2011,3570,594,450,1117,181
2011,3571,324,351,820,74
2011,3572,206,454,1528,41
2011,3573,514,397,884,118
2011,3575,883,385,853,270
2011,3579,5265,413,957,1760
2011,3580,769,416,900,291
2011,3581,311,416,1178,79
2011,3584,1320,448,1025,382
2011,3585,10745,508,1142,3081
2011,3586,751,514,1090,149
2011,3588,310,437,1048,91
2011,3589,371,406,1145,74
2011,3590,373,504,1018,83
2011,3591,272,522,1408,53
2011,3594,483,403,961,177
2011,3595,684,369,886,261
2011,3596,145,394,833,48
2011,3597,584,419,1114,177
2011,3608,2299,455,977,802
2011,3610,1675,462,1034,622
2011,3612,1682,381,888,661
2011,3614,752,589,1604,147
2011,3616,5065,492,1171,1463
2011,3617,290,453,1215,76
2011,3618,672,410,1168,191
2011,3620,8027,456,1063,2559
2011,3621,2193,454,1117,646
2011,3622,328,454,1292,77
2011,3623,915,386,932,307
2011,3624,592,424,988,162
2011,3629,9154,479,1096,2671
2011,3630,29553,495,1132,8659
2011,3631,10163,589,1518,2211
2011,3633,628,558,1347,120
2011,3634,1760,558,1392,341
2011,3635,631,458,1172,166
2011,3636,5415,441,1039,1729
2011,3637,671,461,971,143
2011,3638,2037,427,982,661
2011,3639,508,343,768,204
2011,3640,1137,475,1056,252
2011,3641,1078,453,1079,294
2011,3644,8781,441,993,2903
2011,3646,774,514,1236,196
2011,3649,433,477,1058,116
2011,3658,5833,504,1248,1614
2011,3659,789,571,1418,205
2011,3660,7418,464,1068,2332
2011,3662,1155,960,1769,120
2011,3663,210,632,1750,50
2011,3664,1048,520,1162,292
2011,3666,4869,447,979,1696
2011,3669,1084,437,1036,394
2011,3670,665,500,1018,174
2011,3672,10331,459,1057,3630
2011,3673,1510,496,1096,378
2011,3675,1467,542,1269,340
2011,3677,17170,485,1124,5250
2011,3678,6262,536,1311,1472
2011,3682,654,478,1012,146
2011,3683,1640,524,1312,488
2011,3685,2479,529,1223,741
2011,3687,891,529,1203,248
2011,3688,1247,589,1399,219
2011,3690,30549,552,1260,7975
2011,3691,8396,661,1588,1712
2011,3694,582,706,1468,86
2011,3695,445,659,1416,86
2011,3697,588,493,1278,160
2011,3698,838,505,1171,249
2011,3699,1040,510,921,323
2011,3700,1170,432,977,428
2011,3701,1071,491,1134,288
2011,3705,413,417,974,108
2011,3707,1698,405,882,578
2011,3709,302,394,875,92
2011,3711,257,382,1020,90
2011,3712,361,509,891,119
2011,3713,982,397,882,414
2011,3714,3249,469,1155,1089
2011,3715,302,482,933,91
2011,3717,2656,433,1015,862
2011,3719,548,482,1164,162
2011,3720,521,413,989,168
2011,3722,4360,518,1215,1199
2011,3723,2968,474,1087,907
2011,3725,347,495,1137,88
2011,3726,853,453,1060,240
2011,3727,363,416,906,105
2011,3728,560,423,1048,174
2011,3730,8004,449,1028,2797
2011,3732,429,446,1062,103
2011,3733,421,484,1221,105
2011,3735,519,454,1260,132
2011,3737,4250,438,1048,1442
2011,3739,376,481,1108,93
2011,3740,953,476,1187,278
2011,3741,3071,473,992,994
2011,3744,296,484,1302,100
2011,3746,231,435,816,95
2011,3747,4218,498,1178,1372
2011,3749,1854,553,1538,487
2011,3750,509,591,1383,138
2011,3751,337,582,1387,96
2011,3752,20874,669,1653,3724
2011,3753,872,602,1587,195
2011,3754,17786,788,1832,2498
2011,3755,299,654,1609,77
2011,3756,9255,635,1533,1764
2011,3757,7986,573,1482,1960
2011,3758,2140,590,1546,449
2011,3759,1158,662,1965,219
2011,3760,391,643,1661,69
2011,3761,1138,638,1593,253
2011,3763,1347,539,1288,312
2011,3764,7535,540,1478,2037
2011,3765,6733,612,1639,1506
2011,3766,1208,707,1765,235
2011,3767,1237,577,1729,324
2011,3770,3189,614,1469,649
2011,3775,3490,606,1440,798
2011,3777,10333,507,1245,2978
2011,3778,474,453,1093,133
2011,3779,223,418,880,77
2011,3781,4400,598,1487,870
2011,3782,7771,578,1622,1891
2011,3783,2149,527,1440,499
2011,3785,0,0,0,0
2011,3786,1535,677,1885,328
2011,3787,1145,670,1754,234
2011,3788,1663,669,1633,366
2011,3789,268,692,1805,84
2011,3791,1557,630,1797,355
2011,3792,1038,656,1824,248
2011,3793,3456,526,1340,833
2011,3795,1220,539,1307,299
2011,3796,9374,615,1543,1910
2011,3797,3202,465,1159,962
2011,3799,6015,429,998,1882
2011,3800,814,94,3333,497
2011,3802,24574,501,1383,6637
2011,3803,10162,465,1217,2955
2011,3804,6704,616,1925,1598
2011,3805,54480,589,1512,11605
2011,3806,45551,655,1754,9778
2011,3807,6790,652,1865,1242
2011,3808,2977,700,2029,649
2011,3809,1761,755,1872,304
2011,3810,35306,605,1398,7744
2011,3812,2269,587,1497,516
2011,3813,1105,533,1541,253
2011,3814,1918,522,1330,460
2011,3815,2912,516,1398,705
2011,3816,1972,507,1244,486
2011,3818,12089,500,1214,3532
2011,3820,14074,529,1307,4064
2011,3821,2548,528,1418,575
2011,3822,1040,573,1393,208
2011,3823,1784,492,1358,493
2011,3824,4635,507,1316,1253
2011,3825,20325,410,1040,7123
2011,3831,1451,515,1263,411
2011,3832,415,516,1176,112
2011,3833,317,365,939,107
2011,3835,505,572,1294,125
2011,3840,16617,409,1012,5735
2011,3842,4943,393,1085,1647
2011,3844,27594,565,1486,7011
2011,3847,2167,455,1088,624
2011,3850,14259,521,1266,4194
2011,3851,4951,417,1096,2157
2011,3852,119,939,1437,10
2011,3854,1507,622,1724,300
2011,3856,915,559,1462,217
2011,3857,377,606,1341,74
2011,3858,2886,448,1049,911
2011,3859,911,470,1284,206
2011,3860,6970,472,1159,2120
2011,3862,3130,495,1242,838
2011,3864,393,455,1062,105
2011,3865,389,472,1050,132
2011,3869,1481,540,1541,368
2011,3870,1525,441,1185,471
2011,3871,2863,445,1206,890
2011,3873,443,587,1351,106
2011,3874,488,431,974,157
2011,3875,16652,479,1094,5417
2011,3878,739,450,995,301
2011,3880,3797,413,906,1874
2011,3882,955,472,967,350
2011,3885,1786,399,1004,528
2011,3886,442,392,919,122
2011,3887,341,385,1014,113
2011,3888,3748,397,922,1348
2011,3889,287,404,846,116
2011,3890,169,322,749,59
2011,3891,172,376,762,65
2011,3892,1032,392,902,430
2011,3895,175,420,866,49
2011,3896,420,395,933,123
2011,3898,628,550,1131,132
2011,3900,249,372,762,49
2011,3902,350,388,1062,139
2011,3903,625,398,938,231
2011,3904,1222,513,1076,479
2011,3909,7745,398,954,3022
2011,3910,21371,629,1597,4408
2011,3911,3271,575,1407,775
2011,3912,14604,567,1489,3316
2011,3913,3306,567,1459,729
2011,3915,9029,455,1066,2873
2011,3916,586,684,1859,220
2011,3918,3378,545,1442,807
2011,3919,2839,533,1200,676
2011,3920,1085,740,1652,44
2011,3921,116,296,728,41
2011,3922,6799,471,1004,2429
2011,3923,674,466,1077,241
2011,3925,3015,511,1216,941
2011,3926,3298,586,1568,936
2011,3927,1427,630,1703,443
2011,3928,469,697,1843,133
2011,3929,860,661,1419,327
2011,3930,17248,661,1987,4814
2011,3931,22422,555,1358,7026
2011,3933,1028,626,1707,224
2011,3934,17087,617,1675,4386
2011,3936,9014,485,1116,3311
2011,3937,1903,644,1743,560
2011,3938,2543,535,1239,927
2011,3939,13617,428,1010,5382
2011,3940,4579,390,843,2331
2011,3941,11705,466,1058,3922
2011,3942,2161,514,1145,854
2011,3943,1448,539,1189,742
2011,3944,446,962,2416,211
2011,3945,967,520,1222,268
2011,3950,4621,456,1105,1465
2011,3951,933,538,1278,209
2011,3953,7281,538,1275,1981
2011,3954,385,629,1433,97
2011,3956,2217,404,972,770
2011,3957,446,450,933,126
2011,3958,495,619,1309,110
2011,3959,988,475,1010,275
2011,3960,2287,456,1023,802
2011,3962,1148,399,893,414
2011,3965,179,420,862,89
2011,3966,674,411,929,213
2011,3971,4002,416,946,1480
2011,3975,11666,698,1723,2038
2011,3976,23767,507,1224,5862
2011,3977,67424,605,1424,14535
2011,3978,1218,563,1381,255
2011,3979,666,575,1237,144
2011,3980,3060,606,1441,683
2011,3981,4262,521,1321,1071
2011,3984,4758,422,972,1676
2011,3987,1332,544,1325,362
2011,3988,895,521,1214,226
2011,3991,414,461,1062,123
2011,3992,606,525,1174,136
2011,3995,9135,445,1064,3131
2011,3996,4959,529,1212,1767
2011,4000,14332,832,2328,2807
2011,4005,11330,925,2402,2339
2011,4006,14724,1005,2436,2312
2011,4007,10452,922,2470,2222
2011,4008,350,663,1262,102
2011,4009,0,900,0,0
2011,4010,1986,819,2055,425
2011,4011,14423,838,2284,3084
2011,4012,19818,765,1879,4205
2011,4013,4304,725,1852,829
2011,4014,10777,671,1724,2497
2011,4017,35809,636,1647,8697
2011,4018,8905,649,1509,2483
2011,4019,19007,518,1216,6025
2011,4020,20374,536,1336,6555
2011,4021,9929,497,1188,3120
2011,4022,6683,508,1254,1948
2011,4025,298,591,714,51
2011,4030,15127,814,2206,2893
2011,4031,12610,804,2093,2324
2011,4032,14287,641,1543,3785
2011,4034,41831,616,1594,11396
2011,4035,23301,728,2125,4795
2011,4036,6946,681,1617,1412
2011,4037,7992,809,2187,1105
2011,4051,25849,842,2272,4734
2011,4053,41785,707,1812,9721
2011,4054,12964,670,1655,3188
2011,4055,19551,754,2029,3745
2011,4059,11563,732,2202,2453
2011,4060,12917,841,2548,2427
2011,4061,15949,746,2198,3554
2011,4064,9975,963,2531,1639
2011,4065,9256,879,2673,1737
2011,4066,16147,775,2191,3379
2011,4067,9143,467,1940,3281
2011,4068,21900,720,2151,5361
2011,4069,33072,784,2568,7967
2011,4070,10547,747,2140,2084
2011,4072,2050,106,4250,1073
2011,4073,9330,822,2319,2017
2011,4074,23272,735,2021,4942
2011,4075,21201,737,2066,4729
2011,4076,6794,458,1175,3588
2011,4077,25157,394,1020,8163
2011,4078,22973,706,1713,4271
2011,4101,19305,697,1971,4419
2011,4102,6262,567,1637,1544
2011,4103,13218,688,1845,2747
2011,4104,5540,748,2015,1268
2011,4105,12832,690,1811,2960
2011,4106,1256,528,1238,379
2011,4107,6096,601,1605,1585
2011,4108,4717,498,1238,1393
2011,4109,35368,450,1323,11465
2011,4110,9574,512,1263,2668
2011,4111,1397,331,1663,470
2011,4112,7777,589,1679,1905
2011,4113,27447,554,1495,6966
2011,4114,33201,408,945,9966
2011,4115,17803,695,1786,3474
2011,4116,23306,631,1706,5072
2011,4117,1210,701,1510,209
2011,4118,29063,638,1482,5782
2011,4119,5328,688,1660,1048
2011,4120,8565,769,1839,1683
2011,4121,23782,757,2032,5108
2011,4122,41931,606,1675,11088
2011,4123,16091,659,1597,3466
2011,4124,18382,617,1526,3773
2011,4125,6913,532,1403,1940
2011,4127,21746,631,1518,4901
2011,4128,15878,697,1795,2905
2011,4129,6124,657,1485,1115
2011,4130,8031,652,1815,1658
2011,4131,9314,545,1302,2296
2011,4132,22489,561,1230,4792
2011,4133,14705,545,1279,3809
2011,4151,14945,835,2083,2798
2011,4152,42503,727,2053,9509
2011,4153,4594,754,2025,895
2011,4154,9233,901,2332,1325
2011,4155,1078,693,2208,251
2011,4156,2982,753,2228,577
2011,4157,18676,636,1630,4146
2011,4158,3548,672,1416,807
2011,4159,13796,625,1678,3331
2011,4160,17431,671,1888,3959
2011,4161,16728,623,1561,3607
2011,4163,14414,585,1567,4677
2011,4164,12807,661,1833,2744
2011,4165,33244,616,1628,8007
2011,4169,12602,850,2141,2432
2011,4170,21935,862,2176,3782
2011,4171,14542,999,2631,2462
2011,4172,3957,807,1967,695
2011,4173,8539,720,1689,1651
2011,4174,2593,712,1583,469
2011,4178,23977,620,1585,6345
2011,4179,18150,664,1782,4411
2011,4183,2026,486,1087,615
2011,4184,6341,353,751,2970
2011,4205,4589,475,1049,1503
2011,4207,47474,544,1286,12127
2011,4208,15754,690,1644,2927
2011,4209,34154,676,1565,5725
2011,4210,16276,617,1484,3212
2011,4211,56335,570,1406,12685
2011,4212,24472,625,1616,6261
2011,4213,27711,570,1449,6101
2011,4214,35807,551,1388,8517
2011,4215,44715,478,1085,13539
2011,4216,33736,538,1217,11039
2011,4217,35327,612,1415,9143
2011,4218,29662,614,1385,7556
2011,4219,539,392,814,260
2011,4220,28884,576,1356,7597
2011,4221,25602,538,1300,6961
2011,4223,14073,547,1315,3757
2011,4224,5278,556,1264,1410
2011,4225,6856,503,1052,2370
2011,4226,29250,556,1380,7699
2011,4227,18387,571,1342,3958
2011,4228,5108,545,1549,1183
2011,4229,1691,306,1208,761
2011,4230,1582,645,1333,385
2011,4270,3463,606,1543,728
2011,4271,2683,514,1180,815
2011,4272,4347,489,1251,1534
2011,4275,2982,575,1365,693
2011,4280,14877,614,1522,2962
2011,4285,18462,516,1291,4708
2011,4287,656,408,949,255
2011,4300,45133,661,1559,8722
2011,4301,23202,612,1324,4675
2011,4303,4150,431,910,1391
2011,4304,15547,502,1166,4707
2011,4305,57602,552,1301,15679
2011,4306,31410,619,1644,7288
2011,4307,1140,491,1227,259
2011,4309,2360,471,1178,671
2011,4310,6010,467,1149,1895
2011,4311,9277,431,1075,2875
2011,4312,3012,386,917,1164
2011,4313,1762,368,851,710
2011,4340,5856,514,1291,1565
2011,4341,13088,451,1104,3910
2011,4342,2024,448,1087,580
2011,4343,10503,457,1137,2779
2011,4344,2389,504,1328,639
2011,4345,305,99,0,170
2011,4346,568,628,1356,153
2011,4347,1104,456,1017,284
2011,4350,102244,560,1317,27789
2011,4352,24792,614,1536,5284
2011,4353,349,402,1079,84
2011,4354,1033,462,1133,299
2011,4355,2765,375,857,1104
2011,4356,4902,506,1174,1165
2011,4357,2464,451,1070,692
2011,4358,1965,554,1369,410
2011,4359,1134,484,1110,283
2011,4360,484,411,933,145
2011,4361,2252,385,940,742
2011,4362,2707,444,997,821
2011,4363,523,597,1191,121
2011,4364,305,562,1297,65
2011,4365,416,348,774,172
2011,4370,17238,473,1049,5058
2011,4371,729,407,955,218
2011,4372,199,546,936,40
2011,4373,1180,397,875,427
2011,4374,346,419,1180,110
2011,4375,156,383,924,52
2011,4376,333,441,1104,86
2011,4377,484,394,1115,166
2011,4378,468,435,1008,146
2011,4380,7703,428,972,2686
2011,4381,449,452,981,106
2011,4382,467,416,970,111
2011,4383,724,393,854,252
2011,4385,1160,395,951,384
2011,4387,1357,474,997,378
2011,4388,493,363,873,136
2011,4390,6814,636,1375,1237
2011,4400,1821,567,1381,424
2011,4401,5450,510,1202,1504
2011,4402,282,326,687,136
2011,4403,790,466,1198,160
2011,4404,362,578,1275,52
2011,4405,13929,591,1407,3017
2011,4406,1490,422,1071,308
2011,4407,678,526,1164,174
2011,4408,831,431,1220,206
2011,4410,1246,397,923,423
2011,4411,319,561,1284,68
2011,4412,404,545,1381,65
2011,4413,6685,619,1506,1393
2011,4415,1854,525,1194,487
2011,4416,427,675,1112,57
2011,4417,735,495,975,147
2011,4419,1052,534,1038,162
2011,4420,1094,525,1108,234
2011,4421,2212,355,785,884
2011,4422,666,528,1081,114
2011,4424,217,422,907,36
2011,4425,250,403,929,63
2011,4427,212,387,1125,66
2011,4428,862,525,1183,197
2011,4454,983,658,1257,140
2011,4455,8516,721,1635,1352
2011,4462,139,422,1020,45
2011,4465,1624,447,1110,396
2011,4468,303,445,959,60
2011,4470,3729,611,1389,762
2011,4472,1588,485,1140,416
2011,4477,587,448,957,131
2011,4478,611,564,1170,117
2011,4480,976,579,1153,174
2011,4481,351,652,1325,55
2011,4486,711,545,1187,148
2011,4487,3292,582,1246,628
2011,4488,335,437,862,61
2011,4490,1857,500,1180,463
2011,4492,404,731,1359,56
2011,4494,189,542,1147,26
2011,4496,360,604,1042,59
2011,4497,383,553,1021,57
2011,4498,218,665,949,21
2011,4500,37629,678,1675,7298
2011,4501,5356,559,1277,1410
2011,4502,8499,673,1641,1626
2011,4503,34305,644,1512,7486
2011,4504,16224,700,1719,2654
2011,4505,18726,551,1443,4847
2011,4506,19702,547,1267,4527
2011,4507,17045,409,912,8313
2011,4508,19673,487,1095,5443
2011,4509,19381,754,1850,3246
2011,4510,42206,478,1105,12011
2011,4511,8028,445,1052,2919
2011,4512,3012,561,1569,627
2011,4514,5831,482,1169,2043
2011,4515,3538,467,1099,1062
2011,4516,3722,591,1529,820
2011,4517,600,457,1100,171
2011,4518,4791,491,1181,1343
2011,4519,7553,497,1156,2164
2011,4520,12240,756,2239,2455
2011,4521,4468,616,1634,1035
2011,4550,4178,498,1167,1077
2011,4551,48893,497,1140,15941
2011,4552,7774,467,1017,2754
2011,4553,5308,558,1340,1188
2011,4554,1813,502,1343,453
2011,4555,6679,525,1312,1771
2011,4556,38724,532,1391,11442
2011,4557,14346,590,1354,3428
2011,4558,16701,519,1082,5502
2011,4559,5945,500,1289,1622
2011,4560,28042,501,1168,8573
2011,4561,6584,513,1265,1649
2011,4562,7193,512,1238,1939
2011,4563,7923,486,1176,2602
2011,4564,9866,558,1210,2627
2011,4565,13965,452,1027,4839
2011,4566,7117,526,1171,2551
2011,4567,10342,588,1290,2922
2011,4568,3349,483,1111,1000
2011,4569,1458,458,1024,434
2011,4570,39094,424,975,12371
2011,4571,695,403,1032,224
2011,4572,3717,648,1433,881
2011,4573,21402,563,1317,5488
2011,4574,1213,455,1037,380
2011,4575,21145,544,1289,6444
2011,4580,4513,350,736,2318
2011,4581,1301,472,886,443
2011,4600,958,370,921,359
2011,4601,1063,381,814,332
2011,4605,4695,369,895,1481
2011,4606,2127,398,905,743
2011,4608,876,405,848,260
2011,4610,14486,473,1108,4081
2011,4611,241,367,949,51
2011,4612,415,356,1021,146
2011,4613,494,334,668,211
2011,4614,1230,362,797,530
2011,4615,6859,364,825,2769
2011,4620,575,352,771,216
2011,4621,1348,352,787,583
2011,4625,3051,484,979,744
2011,4626,2031,525,1046,454
2011,4627,630,389,807,203
2011,4630,2615,426,946,683
2011,4650,32850,413,968,11895
2011,4655,55298,398,906,21509
2011,4659,4135,349,775,2042
2011,4660,6755,382,853,2623
2011,4662,871,374,748,363
2011,4670,77159,436,1007,25872
2011,4671,5883,352,811,2292
2011,4673,484,426,984,165
2011,4674,1378,329,708,592
2011,4676,231,375,755,85
2011,4677,3046,422,965,913
2011,4678,888,493,1142,274
2011,4680,50831,744,2074,9483
2011,4694,240,680,1774,42
2011,4695,1283,494,1378,346
2011,4699,543,538,1197,123
2011,4700,18114,557,1407,4808
2011,4701,42364,603,1469,9911
2011,4702,25365,591,1497,5687
2011,4703,20641,563,1397,5532
2011,4705,427,785,1660,35
2011,4707,396,360,700,153
2011,4709,1486,1201,2796,168
2011,4710,3906,504,1155,1308
2011,4711,1799,703,2042,279
2011,4712,260,572,1542,63
2011,4713,936,284,702,291
2011,4714,3015,366,823,1232
2011,4715,7170,691,1833,1310
2011,4716,988,543,1485,165
2011,4717,5100,1145,2751,619
2011,4718,2582,768,1859,416
2011,4719,894,492,1109,202
2011,4720,13884,905,2451,1554
2011,4721,3745,721,1900,655
2011,4722,1641,707,1669,268
2011,4723,1669,780,1971,217
2011,4724,571,640,1403,90
2011,4725,1655,568,1369,378
2011,4726,626,571,1154,138
2011,4727,349,549,1273,45
2011,4728,369,497,1055,68
2011,4730,3624,691,1469,613
2011,4731,215,430,966,51
2011,4733,381,554,1166,55
2011,4735,954,533,1031,256
2011,4737,7652,612,1571,1851
2011,4738,1102,567,1432,263
2011,4739,398,397,1071,99
2011,4740,79544,722,1850,16094
2011,4741,8376,620,1616,1793
2011,4742,1494,878,1542,175
2011,4743,1308,1328,2768,130
2011,4744,8965,1275,2829,838
2011,4745,3003,1283,2804,294
2011,4746,1914,1512,2848,152
2011,4750,5343,814,2084,823
2011,4751,4334,757,2005,760
2011,4753,3019,807,2139,455
2011,4754,1978,624,1750,470
2011,4756,535,513,1208,120
2011,4757,426,480,1208,108
2011,4798,567,490,1312,177
2011,4799,842,472,956,265
2011,4800,8683,563,1356,2110
2011,4801,307,746,0,10
2011,4802,8340,698,1441,1253
2011,4803,1209,852,2100,47
2011,4804,2411,553,1557,545
2011,4805,10482,559,1364,2507
2011,4806,4024,513,1200,1169
2011,4807,11095,554,1323,2889
2011,4808,1268,520,1271,326
2011,4809,904,523,1209,230
2011,4810,21523,777,1779,4413
2011,4811,11754,678,1616,2891
2011,4812,19476,625,1423,4780
2011,4813,492,973,0,3
2011,4814,44389,639,1680,9674
2011,4815,20523,608,1412,4432
2011,4816,8591,433,1149,2428
2011,4817,29741,710,1727,5329
2011,4818,20307,735,1755,3367
2011,4819,2199,508,1050,650
2011,4820,10793,495,1272,2870
2011,4821,1499,567,1274,316
2011,4822,827,573,1125,126
2011,4823,1050,838,1392,100
2011,4824,2797,868,1827,392
2011,4825,22262,930,2333,3237
2011,4828,187,459,675,44
2011,4829,760,627,1312,130
2011,4830,1457,291,711,449
2011,4849,1481,439,940,578
2011,4850,11521,478,1187,3652
2011,4852,3208,578,1258,807
2011,4854,5453,538,1181,1390
2011,4855,834,465,1086,242
2011,4856,539,501,1093,116
2011,4857,173,470,1062,61
2011,4858,1260,527,1335,308
2011,4859,411,492,991,116
2011,4860,11187,477,1121,3192
2011,4861,1069,417,947,379
2011,4865,7656,567,1371,1719
2011,4868,21453,622,1402,4318
2011,4869,17631,618,1375,3171
2011,4870,66308,631,1414,14050
2011,4871,16105,359,917,4705
2011,4872,3647,412,946,1086
2011,4873,6009,518,1166,1468
2011,4874,4956,876,2056,1160
2011,4875,7490,418,986,1502
2011,4876,2314,445,917,559
2011,4877,4772,655,1365,873
2011,4878,11635,621,1403,2478
2011,4879,17137,661,1467,3432
2011,4880,12136,482,1116,3898
2011,4881,4337,466,1160,1161
2011,4882,2426,510,1279,702
2011,4883,8077,470,1060,2327
2011,4884,1684,511,1125,494
2011,4885,3708,437,1037,1108
2011,4886,843,441,949,235
2011,4887,2239,375,895,796
2011,4888,2841,366,809,1085
2011,4890,1468,606,1238,279
2011,4891,586,547,1312,172
2011,4895,4012,397,991,1085
2011,5000,12637,498,1701,4489
2011,5005,329,261,0,137
2011,5006,6679,721,2169,2177
2011,5007,6116,550,1417,1648
2011,5008,13415,439,1186,4306
2011,5009,4942,523,1362,1403
2011,5010,5744,379,1091,2038
2011,5011,9729,553,1416,2659
2011,5012,9709,373,961,3335
2011,5013,9884,418,1048,3316
2011,5014,11566,494,1227,3658
2011,5015,5793,594,1349,1482
2011,5016,8366,567,1545,2435
2011,5017,4965,404,982,1795
2011,5018,5822,643,1638,1508
2011,5019,9138,552,1434,2681
2011,5020,2973,629,1601,905
2011,5021,5730,592,1446,2105
2011,5022,14657,646,1787,4059
2011,5023,15934,444,1094,5512
2011,5024,12950,557,1461,4206
