year,postcode,total_population,median_total_personal_income_weekly,median_total_family_income_weekly,labor_force
2011,2221,15783,631,1885,4648
2011,2222,11692,594,1555,3024
2011,2223,19805,706,1910,5147
2011,2224,13429,642,1840,3992
2011,2225,5428,753,2395,1153
2011,2226,11874,729,2197,2733
2011,2227,14048,726,2087,3310
2011,2228,17602,647,1700,4714
2011,2229,27302,705,1989,7084
2011,2230,26975,824,2042,5985
2011,2231,2213,621,1701,473
2011,2232,31262,719,1903,7394
2011,2233,29304,690,1978,6394
2011,2234,30826,731,2291,6110
2011,2250,65632,545,1428,18411
2011,2251,31837,533,1462,9664
2011,2256,14977,461,1180,5650
2011,2257,27646,482,1160,9556
2011,2258,5108,575,1557,1179
2011,2259,53997,477,1240,16566
2011,2260,21787,648,1704,5441
2011,2261,51003,487,1200,15897
2011,2262,20151,439,1048,6637
2011,2263,22379,419,990,8661
2011,2264,13120,473,1134,5061
2011,2265,5389,465,1318,1845
2011,2267,2670,493,1214,1004
2011,2278,2685,598,1502,553
2011,2280,26598,531,1479,8159
2011,2281,13416,453,1191,4866
2011,2282,14461,604,1703,4124
2011,2283,23076,486,1264,8238
2011,2284,10466,490,1230,3501
2011,2285,27798,562,1504,7504
2011,2286,3448,512,1289,914
2011,2287,33272,532,1484,9355
2011,2289,18852,611,1672,4981
2011,2290,32177,551,1479,9350
2011,2291,13396,748,2134,3246
2011,2292,2436,625,1408,578
2011,2293,2126,646,1566,501
2011,2294,1874,596,1340,482
2011,2295,5822,482,1232,2447
2011,2296,1806,639,1317,402
2011,2297,1615,550,1296,426
2011,2298,9442,486,1277,3067
2011,2299,10691,469,1334,3348
2011,2300,10082,789,2122,2316
2011,2302,594,775,1571,144
2011,2303,9004,559,1765,2679
2011,2304,14966,518,1332,4555
2011,2305,11941,643,1823,2998
2011,2306,3095,340,722,1349
2011,2307,3705,434,1134,1334
2011,2308,652,132,0,363
2011,2311,838,449,1190,258
2011,2312,1508,391,886,505
2011,2314,167,1149,0,3
2011,2315,13377,493,1161,4885
2011,2316,5525,464,1196,1700
2011,2317,6172,466,1068,2495
2011,2318,11392,587,1519,2737
2011,2319,6316,436,1000,2432
2011,2320,29291,568,1623,7354
2011,2321,10924,579,1646,2836
2011,2322,16682,539,1412,4386
2011,2323,24734,551,1486,6843
2011,2324,22536,472,1134,7719
2011,2325,26223,453,1200,8540
2011,2326,7170,436,1163,2266
2011,2327,7358,441,1067,2387
2011,2328,2555,601,1610,541
2011,2329,2143,430,987,621
2011,2330,20459,642,1933,4579
2011,2333,13239,624,1723,3104
2011,2334,2483,506,1478,637
2011,2335,5429,605,1781,1208
2011,2336,2342,595,1597,557
2011,2337,7736,589,1517,1905
2011,2338,1536,480,1130,452
2011,2339,668,451,981,178
2011,2340,45699,541,1232,12250
2011,2341,1729,372,890,726
2011,2342,556,496,1087,119
2011,2343,4527,465,1034,1403
2011,2344,736,585,1466,148
2011,2345,769,567,1212,186
2011,2346,2810,369,801,1072
2011,2347,1879,363,794,776
2011,2350,24473,526,1308,6790
2011,2351,857,208,0,559
2011,2352,2811,471,1153,770
2011,2353,999,463,1280,302
2011,2354,3519,457,1054,985
2011,2355,765,388,937,232
2011,2357,4362,392,947,1443
2011,2358,4046,458,1074,1171
2011,2359,603,409,949,211
2011,2360,14496,444,985,4546
2011,2361,885,338,743,346
2011,2365,3409,444,1055,926
2011,2369,1174,367,834,413
2011,2370,7559,405,926,2648
2011,2371,743,346,788,335
2011,2372,4971,395,914,1656
2011,2380,10141,494,1238,2774
2011,2381,1744,429,961,467
2011,2382,1188,384,1054,391
2011,2386,300,507,1024,65
2011,2388,3091,492,1202,756
2011,2390,8243,547,1280,2081
2011,2395,776,340,743,300
2011,2396,1163,367,790,421
2011,2397,408,603,1237,71
2011,2399,876,500,1222,203
2011,2400,10216,591,1318,2311
2011,2401,322,387,900,87
2011,2402,1913,397,948,675
2011,2403,555,358,740,160
2011,2404,1783,359,783,769
2011,2405,551,577,1181,97
2011,2406,738,620,1353,155
2011,2408,423,660,1357,72
2011,2409,1141,339,827,377
2011,2410,348,363,747,103
2011,2415,280,406,1055,84
2011,2420,4066,447,1130,1376
2011,2421,1520,593,1577,366
2011,2422,5218,412,972,1960
2011,2423,3230,386,921,1167
2011,2424,548,347,751,188
2011,2425,1617,420,1162,553
2011,2426,519,383,880,184
2011,2427,2475,362,760,1332
2011,2428,22697,393,865,10432
2011,2429,9249,395,957,3324
2011,2430,32569,402,944,12435
2011,2431,4954,386,872,2255
